,OEM anon,Model anon,Input type,Fuel type,Sales,Vehicle body,Gear box type,Engine max power,Engine n cylinders,Engine capacity [cm3],Engine is turbo,Curb_vehicle_mass [kg],Vehicle width [m],Vehicle height [m],Tyre code,N gears,Drive battery capacity [Ah],Drive battery nominal voltage [V],Electric motor power [kW],Electric motor torque [Nm],Initial drive battery state of charge [%],Engine speed at max power [%],is_plugin,is_hybrid,is_electric,pycsis_run,Vehicle mass (WLTP) [kg],wltp|f0 [N],wltp|f1 [N/(km/h)],wltp|f2 [N/(km/h)2],Vehicle mass (real-world) [kg],rw|f0 [N],rw|f1 [N/(km/h)],rw|f2 [N/(km/h)2],Declared average CO2 emissions value (OEM) [g/km],Electric range (OEM) [km],Declared electric consumption value (OEM) [Wh/km],Declared CO2 emissions value (Simulated) [g/km],Declared electric consumption value (Simulated) [Wh/km],Annual average distance [km],Real-world CO2 emissions value (Simulated) [g/km],Real-world electric consumption value (Simulated) [Wh/km],Real-world annual gap
214,OEM_17,Model_1,OVC-HEV,gasoline,12898,suv/crossover,automatic,225.947,4,1969,1,2194,1.958,1.776,275/45r20,8,29,400,61.053,131.9795642,,6000,FALSE,TRUE,FALSE,TRUE,2669.360794,185.9236487,0.461105955,0.047441578,2713.482975,188.9968027,0.451407139,0.048486208,64.67844714,48.51062289,165.3422651,35.8478217,,8723,157.1303367,,4.383260384
215,OEM_1,Model_3,OVC-HEV,gasoline,11669,suv/crossover,automatic,182.6965,4,1395,1,1811,1.839,1.643,235/50r19,6,42.5,360,85.7555,400,,4400,FALSE,TRUE,FALSE,TRUE,2180.866317,151.8995198,0.518856839,0.041221403,2223.010781,154.8349239,0.510429658,0.042129069,41.02334564,52.01736305,165.7536522,31.03873574,,8723,122.3958887,,3.943327128
216,OEM_6,Model_6,OVC-HEV,gasoline,11346,hatchback,automatic,119.312,4,1332,1,1675,1.834,1.611,235/50r19,5,43.33333333,360,110.688,246.3760923,,5500,FALSE,TRUE,FALSE,TRUE,2012.805813,155.4346706,0.580794536,0.034550279,2054.248007,158.6349564,0.57373118,0.035311052,32.54325015,60.79784509,220.7076746,29.12135604,,9138,112.9426412,,3.878344163
217,OEM_21,Model_1,OVC-HEV,gasoline,10659,suv/crossover,automatic,96.941,4,1332,1,1745,1.805,1.692,235/55r17,5,31.66666667,360,57.059,122.7743717,,5500,FALSE,TRUE,FALSE,TRUE,2098.954113,146.1942529,0.514729686,0.041665926,2140.75777,149.1059194,0.506211628,0.042583381,47.6017832,45.88700141,164.5340216,43.08075152,,8723,119.5580085,,2.775207123
218,OEM_23,Model_2,OVC-HEV,gasoline,10607,suv/crossover,CVT,100.669,4,2360,0,1855,1.8,1.703,225/55r18,6,46,300,75.331,164.88686,,5500,FALSE,TRUE,FALSE,TRUE,2235.844713,155.7288201,0.513293295,0.041820636,2278.216382,158.6800492,0.504743609,0.042741497,46,45.01020697,169,47.94580174,,8723,143.8373415,,2.999998671
219,OEM_12,Model_5,OVC-HEV,gasoline,10335,suv/crossover,automatic,78.2985,4,1580,0,1494,1.805,1.545,205/60r16,6,4.333333333,360,25.7015,50.50300816,,5700,FALSE,TRUE,FALSE,TRUE,1793.526394,124.9209069,0.548338567,0.038046014,1834.03395,127.7422986,0.540560553,0.038883761,31.107015,50.35423745,115.8557842,28.82393874,,8723,125.335142,,4.348300318
220,OEM_6,Model_8,OVC-HEV,diesel,10333,sedan,automatic,144.666,4,1950,1,1960,1.852,1.468,205/65r16,9,37.5,360,80.334,176.4175507,,3800,FALSE,TRUE,FALSE,TRUE,2368.24,194.5716381,0.635917151,0.028613187,2411.153863,198.0973875,0.630067557,0.029243229,36.62225946,51.4095616,227.9851267,30.93421526,,16488,118.3719579,,3.826570575
221,OEM_1,Model_1,OVC-HEV,gasoline,10298,hatchback,manual,50.7076,3,999,0,970,1.641,1.504,165/70r14,5,42.5,360,-0.7076,-10.36350435,,6200,FALSE,TRUE,FALSE,TRUE,1186.96705,91.66101928,0.633615278,0.028861115,1224.768801,94.58017951,0.627714998,0.029496616,29.58046033,62.36560391,158.0241088,24.4427172,,9138,86.94697644,,3.557173113
222,OEM_11,Model_3,OVC-HEV,gasoline,9932,suv/crossover,automatic,134.226,4,1598,1,1700,1.856,1.609,225/55r18,6,55,240,30.774,62.19387929,,6000,FALSE,TRUE,FALSE,TRUE,2043.487,142.330913,0.523312057,0.040741545,2085.058288,145.2263948,0.514982976,0.041638645,31.05688683,61.88119211,155.4337495,30.7261516,,8723,119.2355852,,3.880589628
223,OEM_14,Model_5,OVC-HEV,gasoline,9587,sedan,automatic,187.916,4,1984,1,1985,1.886,1.457,225/55r18,7,37.00787402,381,32.084,65.2131087,,5000,FALSE,TRUE,FALSE,TRUE,2400.011313,190.2364167,0.633067235,0.028920143,2443.05427,193.6482081,0.627154887,0.029556944,34.19192657,72.0979655,188.5563163,24.94273107,,16488,125.0462969,,5.013336213
224,OEM_4,Model_4,OVC-HEV,gasoline,9424,hatchback,manual,68.6044,4,1598,1,1528,1.874,1.445,245/35r19,6,30.8,360,49.9619,205,,6000,FALSE,TRUE,FALSE,TRUE,1834.334656,141.6526131,0.607572853,0.031666067,1875.017779,144.7942812,0.601099137,0.032363331,29.74480051,51.21774194,148.4943761,27.96323335,,9138,110.4225087,,3.948846233
225,OEM_20,Model_2,EV,,99357,sedan,automatic,,,,,1831,1.849,1.443,235/35r20,1,234.2857143,350,377,660,100,,FALSE,FALSE,TRUE,TRUE,2205.819777,176.9884113,0.640864296,0.028080345,2248.067516,180.3782442,0.635123634,0.028698655,0,530.6446243,147.2133159,0,181.4038515,16488,0,230.6082508,1.271242308
226,OEM_4,Model_1,EV,,66910,hatchback,automatic,,,,,1475,1.73,1.562,205/45r17,1,117.1428571,350,80,225,100,,FALSE,FALSE,TRUE,TRUE,1770.798813,158.9495576,0.608188449,0.031599763,1811.208257,162.57677,0.601728288,0.032295567,0,377.3873619,180.847945,0,173.2552417,9138,0,218.6370898,1.261936364
227,OEM_6,Model_8,EV,,50916,sedan,automatic,,,,,1825,1.852,1.468,245/45r18,1,33.75,400,210,700,100,,FALSE,FALSE,TRUE,TRUE,2198.327313,181.0431359,0.635917151,0.028613187,2240.54407,184.5198948,0.630067557,0.029243229,0,221.3133103,175.1180561,0,182.3827177,16488,0,227.8726563,1.249420226
228,OEM_8,Model_4,EV,,40231,hatchback,automatic,,,,,955,1.627,1.488,195/45r16,1,87.15231788,377.5,63,145,100,,FALSE,FALSE,TRUE,TRUE,1170.222213,105.0409011,0.638727657,0.028310476,1207.946507,108.4270904,0.632939947,0.028933853,0,303.0730913,142.2212528,0,138.5652926,9138,0,185.3661743,1.337753277
229,OEM_1,Model_1,EV,,39116,hatchback,automatic,,,,,970,1.641,1.504,165/70r14,1,118.7096774,310,50,90,100,,FALSE,FALSE,TRUE,TRUE,1186.96705,91.66101928,0.633615278,0.028861115,1224.768801,94.58017951,0.627714998,0.029496616,0,256.3415138,129.6522123,0,135.8820193,9138,0,179.8880732,1.323854872
230,OEM_2,Model_6,EV,,38878,hatchback,automatic,,,,,955,1.745,1.43,195/55r16,1,130.7359307,385,55,118,100,,FALSE,FALSE,TRUE,TRUE,1170.222213,84.5493155,0.630652818,0.029180193,1207.946507,87.2749203,0.624687306,0.02982272,0,338.4011215,164.0116779,0,134.23914,9138,0,179.8997079,1.340143478
231,OEM_12,Model_5,EV,,34747,suv/crossover,automatic,,,,,1400,1.805,1.545,225/45r18,1,189.9441341,358,104,265,100,,FALSE,FALSE,TRUE,TRUE,1681.624,117.1267932,0.548338567,0.038046014,1721.646163,119.9143769,0.540560553,0.038883761,0,449.295204,158.7846083,0,172.0030966,8723,0,212.9326699,1.237958352
232,OEM_10,Model_2,EV,,34614,hatchback,automatic,,,,,1287,1.8,1.55,235/45r18,1,166.3035585,344.25,130,265,100,,FALSE,FALSE,TRUE,TRUE,1548.892449,139.0309095,0.598662454,0.032625779,1588.331108,142.5709828,0.591992537,0.033344176,0,426.0452234,146.1085191,0,165.6396587,9138,0,213.6432438,1.289807317
233,OEM_14,Model_4,EV,,29614,suv/crossover,automatic,,,,,2465,1.935,1.616,255/50r20,1,239.8989899,396,300,664,100,,FALSE,FALSE,TRUE,TRUE,3028.564113,210.942519,0.505495746,0.042660486,3074.08567,214.113141,0.496774363,0.04359984,0,423.5246945,205.642108,0,236.722386,8723,0,284.8155403,1.20316268
234,OEM_18,Model_3,EV,,25711,hatchback,automatic,,,,,1631,1.788,1.54,215/50r17,1,172.2222222,360,160,340,100,,FALSE,FALSE,TRUE,TRUE,1959.039177,151.2826558,0.602623114,0.032199188,2000.254166,154.4653962,0.596040408,0.032908192,0,317.1511673,177.9918304,0,176.2567257,9138,0,220.1045084,1.248772252
235,OEM_4,Model_2,EV,,25224,hatchback,automatic,,,,,884,1.646,1.541,165/65r15,1,57.5,400,48,95,100,,FALSE,FALSE,TRUE,TRUE,1091.430424,84.28340545,0.626186652,0.02966123,1128.788092,87.16827235,0.620122799,0.03031435,0,187.1621075,161.2837774,0,133.0498057,9138,0,177.222614,1.332002051
236,OEM_20,Model_1,EV,,25019,sedan,automatic,,,,,1950,1.921,1.624,235/30r21,1,214.2857143,350,340,639,100,,FALSE,FALSE,TRUE,TRUE,2355.55825,189.0029806,0.596737104,0.032833153,2398.420476,192.442118,0.590024792,0.033556116,0,506.989167,169.0183647,0,197.320768,16488,0,243.9359323,1.236240537
237,OEM_10,Model_3,EV,,24063,hatchback,automatic,,,,,1495,1.82,1.45,205/55r16,1,24.72222222,360,104,265,100,,FALSE,FALSE,TRUE,TRUE,1794.724113,129.6699837,0.615056633,0.030860011,1835.236832,132.597054,0.608747704,0.031539527,0,418.0764019,167.6225011,0,162.8570647,9138,0,205.8511374,1.263998819
238,OEM_2,Model_7,EV,,21890,suv/crossover,automatic,,,,,1136,1.739,1.556,205/50r17,1,133.8481338,388.5,81,205,100,,FALSE,FALSE,TRUE,TRUE,1374.575104,95.74053057,0.558831692,0.036915831,1413.234037,98.43316393,0.55128473,0.037728692,0,320.6826115,175.71672,0,156.997463,8723,0,207.3129665,1.320486093
239,OEM_7,Model_7,EV,,20538,hatchback,automatic,,,,,1265,1.791,1.59,175/55r20,1,119.8863636,352,135,270,100,,FALSE,FALSE,TRUE,TRUE,1523.278113,110.0578338,0.592399009,0.033300396,1562.60317,112.8990947,0.585591175,0.034033647,0,291.5354465,159.8117149,0,156.7498356,9138,0,202.6837153,1.293039412
240,OEM_11,Model_5,EV,,20295,hatchback,automatic,,,,,1063,1.736,1.481,195/55r16,1,130.7359307,385,66,130,100,,FALSE,FALSE,TRUE,TRUE,1291.553409,93.31557327,0.622437705,0.030065018,1329.835388,96.08147118,0.616291303,0.030727029,0,336.3663791,164.9266982,0,141.0559778,9138,0,190.8772263,1.353201965
241,OEM_26,Model_1,EV,,13961,hatchback,automatic,,,,,2098,1.891,1.477,255/45r19,1,195,400,300,660,100,,FALSE,FALSE,TRUE,TRUE,2544.810586,228.4260154,0.598335982,0.032660942,2588.437047,232.341992,0.591658876,0.033380113,0,466.5600793,190.3317509,0,212.9898933,9138,0,254.6903068,1.195785879
242,OEM_7,Model_6,EV,,12793,suv/crossover,automatic,,,,,2160,1.891,1.668,245/45r20,1,200,400,210,400,100,,FALSE,FALSE,TRUE,TRUE,2625.088,182.8400043,0.502046888,0.043031952,2669.034613,185.9009298,0.493249564,0.043979486,0,452.2205894,189.0077386,0,220.4496588,8723,0,265.8059655,1.205744509
243,OEM_17,Model_3,EV,,12508,suv/crossover,automatic,,,,,1584,1.873,1.658,235/55r18,1,201.7316017,385,193,425,100,,FALSE,FALSE,TRUE,TRUE,1901.933824,132.4715928,0.508222355,0.042366811,1942.906117,135.325354,0.49956101,0.043299699,0,412.8089779,235.3185385,0,189.7597925,8723,0,237.2036082,1.250020382
244,OEM_24,Model_1,EV,,12379,hatchback,automatic,,,,,2280,1.966,1.381,245/45r20,1,116.75,800,500,850,100,,FALSE,FALSE,TRUE,TRUE,2782.1344,249.7285569,0.606800264,0.03174928,2826.700663,253.7288916,0.600309536,0.032448377,0,429.3331359,259.616278,0,222.9699201,9138,0,269.5974511,1.209120275
245,OEM_11,Model_1,EV,,12353,suv/crossover,automatic,,,,,1195,1.79,1.523,215/55r18,1,125,400,96,230,100,,FALSE,FALSE,TRUE,TRUE,1442.270613,100.4555904,0.556262149,0.037192589,1481.234207,103.1694438,0.548658607,0.038011544,0,325.4537856,170.1906732,0,160.320783,8723,0,202.8179167,1.265075638
246,OEM_6,Model_7,EV,,10971,suv/crossover,automatic,,,,,2395,1.884,1.624,235/50r20,1,228.5714286,350,300,760,100,,FALSE,FALSE,TRUE,TRUE,2934.704613,204.405111,0.51402593,0.041741726,2979.864707,207.5505567,0.505492376,0.042660849,0,396.0537781,233.2133807,0,230.4402454,8723,0,283.261907,1.229220645
247,OEM_9,Model_2,EV,,9463,hatchback,automatic,,,,,1289,1.8,1.525,195/60r18,1,133.8481338,388.5,96,300,100,,FALSE,FALSE,TRUE,TRUE,1551.224697,111.3161169,0.603548137,0.032099557,1590.673684,114.1469821,0.596985799,0.032806367,0,350.2959518,159.732826,0,155.66429,9138,0,201.3849964,1.293713519
248,OEM_22,Model_1,EV,,9232,suv/crossover,automatic,,,,,1620,1.795,1.57,215/55r18,1,88.75,400,107,265,100,,FALSE,FALSE,TRUE,TRUE,1945.6438,135.5160363,0.544611425,0.038447454,1986.801988,138.3827453,0.536751342,0.03929404,0,200,190,0,182.5157368,8723,0,226.5056838,1.241020022
